T1,T2
Daceton,1
Odontomachus,2
Crematogaster,3
Daceton,4
Ectatomma,5
Ectatomma,6
Dolichoderus,7
Dolichoderus,8
Odontomachus,9
Labidus,10
Crematogaster,11
Odontomachus,12
Ectatomma,13
Cephalotes,14
Daceton,15
Odontomachus,16
Odontomachus,17
Ectatomma,18
Ectatomma,19
Dolichoderus,20
Dolichoderus,21
Ectatomma,22
Crematogaster,23
Labidus,24
Daceton,25
Odontomachus,26
Camponotus,27
Ectatomma,28
Camponotus,29
Ectatomma,30
Dolichoderus,31
Dolichoderus,32
Crematogaster,33
Labidus,34
Crematogaster,35
Ectatomma,36
Pseudomyrmex,37
Odontomachus,38
Paraponera,39
Crematogaster,40
Paraponera,41
Camponotus,42
Azteca,43
Crematogaster,44
Ectatomma,45
Camponotus,46
Odontomachus,47
Odontomachus,48
Odontomachus,49
Cephalotes,50
Ectatomma,51
Ectatomma,52
Dolichoderus,53
Ectatomma,54
Camponotus,55
Ectatomma,56
Gigantiops,57
Dolichoderus,58
Ectatomma,59
Crematogaster,60
Cephalotes,61
Crematogaster,62
Ectatomma,63
Dolichoderus,64
Ectatomma,65
Dolichoderus,66
Odontomachus,67
Camponotus,68
Solenopsis,69
Dolichoderus,70
Ectatomma,71
Dolichoderus,72
Paraponera,73
Dolichoderus,74
Paraponera,75
Paraponera,76
Paraponera,77
Paraponera,78
Paraponera,79
Paraponera,80
Neoponera,81
Paraponera,82
Paraponera,83
Neoponera,84
Paraponera,85
Paraponera,86
Camponotus,87
Ectatomma,88
Gigantiops,89
Gigantiops,90
Dolichoderus,91
Dolichoderus,92
Ectatomma,93
Gigantiops,94
Dolichoderus,95
Odontomachus,96
Odontomachus,97
Odontomachus,98
Dolichoderus,99
Crematogaster,100
Crematogaster,101
Paraponera,102
Daceton,103
Ectatomma,104
Dolichoderus,105
Crematogaster,106
Dolichoderus,107
Ectatomma,108
Crematogaster,109
Daceton,110
Daceton,111
Dolichoderus,112
Dolichoderus,113
Dolichoderus,114
Dolichoderus,115
Gigantiops,116
Ectatomma,117
Dolichoderus,118
Crematogaster,119
Dolichoderus,120
Ectatomma,121
Solenopsis,122
Crematogaster,123
Neoponera,124
Odontomachus,125
Daceton,126
Neoponera,127
Crematogaster,128
Daceton,129
Neoponera,130
Crematogaster,131
Crematogaster,132
Paraponera,133
Ectatomma,134
Dolichoderus,135
Neoponera,136
Crematogaster,137
Gigantiops,138
Dolichoderus,139
Dolichoderus,140
Dolichoderus,141
Ectatomma,142
Dolichoderus,143
Camponotus,144
Odontomachus,145
Odontomachus,146
Gigantiops,147
Crematogaster,148
Ectatomma,149
Ectatomma,150
Odontomachus,151
Odontomachus,152
Camponotus,153
Gigantiops,154
Crematogaster,155
Eciton,156
Dolichoderus,157
Odontomachus,158
Crematogaster,159
Ectatomma,160
Cephalotes,161
Anochetus,162
Paraponera,163
Ectatomma,164
Crematogaster,165
Crematogaster,166
Cephalotes,167
Dolichoderus,168
Ectatomma,169
Crematogaster,170
