Anochetus_emarginatus_CRESS1	Azteca_sp1_CRESS1	Camponotus_atriceps_CRESS1	Camponotus_rapax_CRESS1	Camponotus_sp2_CRESS1	Camponotus_sp2_CRESS2	Camponotus_sp2_CRESS3	Camponotus_sp2_CRESS4	Camponotus_sp2_CRESS5	Camponotus_sp2_CRESS6	Camponotus_sp2_CRESS7	Cephalotes_atratus_CRESS1	Cephalotes_atratus_CRESS2	Cephalotes_atratus_CRESS3	Cephalotes_sp2_CRESS1	Cephalotes_sp2_CRESS2	Crematogaster_levior_CRESS1	Crematogaster_levior_CRESS10	Crematogaster_levior_CRESS2	Crematogaster_levior_CRESS3	Crematogaster_levior_CRESS4	Crematogaster_levior_CRESS5	Crematogaster_levior_CRESS6	Crematogaster_levior_CRESS7	Crematogaster_levior_CRESS8	Crematogaster_levior_CRESS9	Crematogaster_sp1_CRESS1	Crematogaster_sp2_CRESS1	Crematogaster_sp2_CRESS10	Crematogaster_sp2_CRESS11	Crematogaster_sp2_CRESS12	Crematogaster_sp2_CRESS13	Crematogaster_sp2_CRESS14	Crematogaster_sp2_CRESS2	Crematogaster_sp2_CRESS3	Crematogaster_sp2_CRESS4	Crematogaster_sp2_CRESS5	Crematogaster_sp2_CRESS6	Crematogaster_sp2_CRESS7	Crematogaster_sp2_CRESS8	Crematogaster_sp2_CRESS9	Daceton_armigerum_CRESS1	Daceton_armigerum_CRESS2	Daceton_armigerum_CRESS3	Daceton_armigerum_CRESS4	Daceton_armigerum_CRESS5	Daceton_armigerum_CRESS6	Daceton_armigerum_CRESS7	Daceton_armigerum_CRESS8	Daceton_armigerum_CRESS9	Dolichoderus_attelaboides_CRESS1	Dolichoderus_attelaboides_CRESS2	Dolichoderus_attelaboides_CRESS3	Dolichoderus_bispinosus_CRESS1	Dolichoderus_bispinosus_CRESS10	Dolichoderus_bispinosus_CRESS11	Dolichoderus_bispinosus_CRESS12	Dolichoderus_bispinosus_CRESS13	Dolichoderus_bispinosus_CRESS14	Dolichoderus_bispinosus_CRESS15	Dolichoderus_bispinosus_CRESS16	Dolichoderus_bispinosus_CRESS17	Dolichoderus_bispinosus_CRESS18	Dolichoderus_bispinosus_CRESS19	Dolichoderus_bispinosus_CRESS2	Dolichoderus_bispinosus_CRESS20	Dolichoderus_bispinosus_CRESS21	Dolichoderus_bispinosus_CRESS22	Dolichoderus_bispinosus_CRESS23	Dolichoderus_bispinosus_CRESS24	Dolichoderus_bispinosus_CRESS25	Dolichoderus_bispinosus_CRESS26	Dolichoderus_bispinosus_CRESS27	Dolichoderus_bispinosus_CRESS3	Dolichoderus_bispinosus_CRESS4	Dolichoderus_bispinosus_CRESS5	Dolichoderus_bispinosus_CRESS6	Dolichoderus_bispinosus_CRESS7	Dolichoderus_bispinosus_CRESS8	Dolichoderus_bispinosus_CRESS9	Eciton_sp_CRESS1	Ectatomma_brunneum_CRESS1	Ectatomma_brunneum_CRESS2	Ectatomma_brunneum_CRESS3	Ectatomma_brunneum_CRESS4	Ectatomma_brunneum_CRESS5	Ectatomma_tuberculatum_CRESS1	Ectatomma_tuberculatum_CRESS10	Ectatomma_tuberculatum_CRESS11	Ectatomma_tuberculatum_CRESS12	Ectatomma_tuberculatum_CRESS13	Ectatomma_tuberculatum_CRESS14	Ectatomma_tuberculatum_CRESS15	Ectatomma_tuberculatum_CRESS16	Ectatomma_tuberculatum_CRESS17	Ectatomma_tuberculatum_CRESS18	Ectatomma_tuberculatum_CRESS19	Ectatomma_tuberculatum_CRESS2	Ectatomma_tuberculatum_CRESS20	Ectatomma_tuberculatum_CRESS21	Ectatomma_tuberculatum_CRESS22	Ectatomma_tuberculatum_CRESS23	Ectatomma_tuberculatum_CRESS24	Ectatomma_tuberculatum_CRESS25	Ectatomma_tuberculatum_CRESS26	Ectatomma_tuberculatum_CRESS3	Ectatomma_tuberculatum_CRESS4	Ectatomma_tuberculatum_CRESS5	Ectatomma_tuberculatum_CRESS6	Ectatomma_tuberculatum_CRESS7	Ectatomma_tuberculatum_CRESS8	Ectatomma_tuberculatum_CRESS9	Gigantiops_destructor_CRESS1	Gigantiops_destructor_CRESS2	Gigantiops_destructor_CRESS3	Gigantiops_destructor_CRESS4	Gigantiops_destructor_CRESS5	Gigantiops_destructor_CRESS6	Gigantiops_destructor_CRESS7	Gigantiops_destructor_CRESS8	Labidus_coecus_CRESS1	Labidus_coecus_CRESS2	Labidus_coecus_CRESS3	Neoponera_commutata_CRESS1	Neoponera_commutata_CRESS2	Neoponera_commutata_CRESS3	Neoponera_commutata_CRESS4	Neoponera_commutata_CRESS5	Neoponera_commutata_CRESS6	Odontomachus_bauri_CRESS1	Odontomachus_bauri_CRESS2	Odontomachus_haematodus_CRESS1	Odontomachus_haematodus_CRESS10	Odontomachus_haematodus_CRESS11	Odontomachus_haematodus_CRESS12	Odontomachus_haematodus_CRESS13	Odontomachus_haematodus_CRESS14	Odontomachus_haematodus_CRESS2	Odontomachus_haematodus_CRESS3	Odontomachus_haematodus_CRESS4	Odontomachus_haematodus_CRESS5	Odontomachus_haematodus_CRESS6	Odontomachus_haematodus_CRESS7	Odontomachus_haematodus_CRESS8	Odontomachus_haematodus_CRESS9	Odontomachus_scalptus_CRESS1	Odontomachus_scalptus_CRESS2	Odontomachus_scalptus_CRESS3	Paraponera_clavata_CRESS1	Paraponera_clavata_CRESS10	Paraponera_clavata_CRESS11	Paraponera_clavata_CRESS12	Paraponera_clavata_CRESS13	Paraponera_clavata_CRESS14	Paraponera_clavata_CRESS15	Paraponera_clavata_CRESS16	Paraponera_clavata_CRESS2	Paraponera_clavata_CRESS3	Paraponera_clavata_CRESS4	Paraponera_clavata_CRESS5	Paraponera_clavata_CRESS6	Paraponera_clavata_CRESS7	Paraponera_clavata_CRESS8	Paraponera_clavata_CRESS9	Pseudomyrmex_sp1_CRESS1	Solenopsis_geminata1_CRESS1	
Anochetus_emarginatus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azteca_sp1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camponotus_atriceps	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camponotus_rapax	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camponotus_sp2	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalotes_atratus	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cephalotes_sp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crematogaster_levior	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crematogaster_sp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crematogaster_sp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
